semana;mes;variedad_producto;color_producto;calibre;kg_calibre;porcentaje_calibre_por_guia_remision;guia_remision;reporte_produccion;fecha;cliente
13;Marzo;Hass;Negra;08;60.00;0.0025;T008 N° 0000109;0001-0002239;25/03/2024;CLIENTE2
13;Marzo;Hass;Negra;10;2160.00;0.0898;T008 N° 0000109;0001-0002239;25/03/2024;CLIENTE2
13;Marzo;Hass;Negra;12;9640.00;0.4007;T008 N° 0000109;0001-0002239;25/03/2024;CLIENTE2
13;Marzo;Hass;Negra;14;10250.00;0.4260;T008 N° 0000109;0001-0002239;25/03/2024;CLIENTE2
13;Marzo;Hass;Negra;16;1890.00;0.0786;T008 N° 0000109;0001-0002239;25/03/2024;CLIENTE2
13;Marzo;Hass;Negra;20;30.00;0.0012;T008 N° 0000109;0001-0002239;25/03/2024;CLIENTE2
13;Marzo;Hass;Negra;24;30.00;0.0012;T008 N° 0000109;0001-0002239;25/03/2024;CLIENTE2
13;Marzo;Hass;Negra;10;542.66;0.0352;T008 N° 0000110;0001-0002240;26/03/2024;CLIENTE2
13;Marzo;Hass;Negra;12;4059.66;0.2630;T008 N° 0000110;0001-0002240;26/03/2024;CLIENTE2
13;Marzo;Hass;Negra;14;7267.55;0.4709;T008 N° 0000110;0001-0002240;26/03/2024;CLIENTE2
13;Marzo;Hass;Negra;16;3565.08;0.2310;T008 N° 0000110;0001-0002240;26/03/2024;CLIENTE2
13;Marzo;Hass;Negra;10;247.34;0.0352;T008 N° 0000111;0001-0002240;26/03/2024;CLIENTE2
13;Marzo;Hass;Negra;12;1850.34;0.2630;T008 N° 0000111;0001-0002240;26/03/2024;CLIENTE2
13;Marzo;Hass;Negra;14;3312.45;0.4709;T008 N° 0000111;0001-0002240;26/03/2024;CLIENTE2
13;Marzo;Hass;Negra;16;1624.92;0.2310;T008 N° 0000111;0001-0002240;26/03/2024;CLIENTE2
13;Marzo;Hass;Negra;10;570.00;0.0251;T008 N° 0000113;0001-0002243;27/03/2024;CLIENTE2
