semana;mes;fundo;empresa;lote;hectareas;variedad_producto;color_producto;guia_remision;reporte_produccion;fecha;total_jabas;peso_promedio_jaba;cajas_exportadas_10kg;ingreso_packing_kg_bruto;kg_exportados;porcentaje_exportados;kg_descarte;porcentaje_descarte;kg_merma;porcentaje_merma;kg_descarte_campo;kg_brutos_lote;kg_brutos_hectarea;kg_exportados_hectarea;estado;cliente;temperatura_promedio;temperatura_maxima;temperatura_minima;humedad_promedio;humedad_maxima;humedad_minima;evapotranspiracion_acumulada;insumo_para_tratamiento;naturaleza_del_insumo;dosis_litros_por_hectarea;tipo_insumo
13;Marzo;FUNDO1;EMPRESA;DNH-06;9.75;Hass;Negra;T008 N° 0000109;0001-0002239;25/03/2024;5;428.13;200.50;2140.67;2005.00;0.9366;45.63;0.0213;90.04;0.0421;0.00;2140.67;219.46;205.55;Cosechando;CLIENTE2;24.28;32.00;19.20;67.04;85.00;45.00;5.62;BIOMURIKATA;ORGANICA;2.0;ACARICIDA
13;Marzo;FUNDO1;EMPRESA;DNH-05;10.91;Hass;Negra;T008 N° 0000109;0001-0002239;25/03/2024;10;428.13;401.00;4281.33;4010.00;0.9366;91.25;0.0213;180.08;0.0421;0.00;4281.33;392.36;367.49;Cosechando;CLIENTE2;24.28;32.00;19.20;67.04;85.00;45.00;5.62;KING PLUS ZINC;MINERAL;1.0;NUTRIENTE
13;Marzo;FUNDO1;EMPRESA;DNH-04;11.76;Hass;Negra;T008 N° 0000109;0001-0002239;25/03/2024;18;428.13;721.80;7706.40;7218.00;0.9366;164.25;0.0213;324.15;0.0421;0.00;7706.40;655.51;613.97;Cosechando;CLIENTE2;24.28;32.00;19.20;67.04;85.00;45.00;5.62;KADONDO;QUIMICA;1.5;ACARICIDA
13;Marzo;FUNDO1;EMPRESA;DNH-03;11.62;Hass;Negra;T008 N° 0000109;0001-0002239;25/03/2024;19;428.13;761.90;8134.53;7619.00;0.9366;173.37;0.0213;342.16;0.0421;0.00;8134.53;699.81;655.46;Cosechando;CLIENTE2;24.28;32.00;19.20;67.04;85.00;45.00;5.62;BASFOLIAR POTASIO;MINERAL;1.6;NUTRIENTE
13;Marzo;FUNDO1;EMPRESA;DNH-02;11.50;Hass;Negra;T008 N° 0000109;0001-0002239;25/03/2024;5;428.13;200.50;2140.67;2005.00;0.9366;45.63;0.0213;90.04;0.0421;0.00;2140.67;186.08;174.28;Cosechando;CLIENTE2;24.28;32.00;19.20;67.04;85.00;45.00;5.62;FRUIT XL;QUIMICA;1.0;HORMONAS
13;Marzo;FUNDO2;EMPRESA;CVH-17;7.21;Hass;Negra;T008 N° 0000109;0001-0002239;25/03/2024;3;428.13;120.30;1284.40;1203.00;0.9366;27.38;0.0213;54.03;0.0421;0.00;1284.40;178.14;166.85;Cosechando;CLIENTE2;24.28;32.00;19.20;67.04;85.00;45.00;5.62;LEMURIA;ORGANICA;3.0;ACARICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-16;7.35;Hass;Negra;T008 N° 0000110;0001-0002240;26/03/2024;7;416.97;277.04;2918.82;2770.38;0.9491;46.42;0.0159;102.02;0.0350;0.00;2918.82;397.07;376.88;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;AMINOLOM;ORGANICA;2.0;ANTIESTRES
13;Marzo;FUNDO2;EMPRESA;CVH-08;9.57;Hass;Negra;T008 N° 0000110;0001-0002240;26/03/2024;1;416.97;39.58;416.97;395.76;0.9491;6.63;0.0159;14.57;0.0350;0.00;416.97;43.56;41.35;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;FERTIMAR;ORGANICA;1.0;ANTIESTRES
13;Marzo;FUNDO2;EMPRESA;CVH-07;9.16;Hass;Negra;T008 N° 0000110;0001-0002240;26/03/2024;6;416.98;237.46;2501.85;2374.61;0.9491;39.79;0.0159;87.45;0.0350;0.00;2501.85;273.01;259.13;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;MOVAXION;QUIMICA;1.0;NUTRIENTE
13;Marzo;FUNDO2;EMPRESA;CVH-01;8.05;Hass;Negra;T008 N° 0000110;0001-0002240;26/03/2024;5;416.97;197.88;2084.87;1978.84;0.9491;33.16;0.0159;72.87;0.0350;0.00;2084.87;258.91;245.74;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;VAPOR GARD;QUIMICA;1.0;PROTECTOR
13;Marzo;FUNDO2;EMPRESA;CVH-02;9.62;Hass;Negra;T008 N° 0000110;0001-0002240;26/03/2024;8;416.98;316.61;3335.80;3166.15;0.9491;53.05;0.0159;116.60;0.0350;0.00;3335.80;346.77;329.13;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;MOVAXION;MINERAL;2.0;NUTRIENTE
13;Marzo;FUNDO2;EMPRESA;CVH-03;9.77;Hass;Negra;T008 N° 0000110;0001-0002240;26/03/2024;3;416.97;118.73;1250.92;1187.30;0.9491;19.89;0.0159;43.72;0.0350;0.00;1250.92;128.02;121.51;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;AMINOLOM;ORGANICA;2.0;ANTIESTRES
13;Marzo;FUNDO2;EMPRESA;CVH-10;7.27;Hass;Negra;T008 N° 0000110;0001-0002240;26/03/2024;5;416.97;197.88;2084.87;1978.84;0.9491;33.16;0.0159;72.87;0.0350;0.00;2084.87;286.65;272.08;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;LEMURIA;ORGANICA;3.0;ACARICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-14;8.24;Hass;Negra;T008 N° 0000110;0001-0002240;26/03/2024;4;416.98;158.31;1667.90;1583.07;0.9491;26.53;0.0159;58.30;0.0350;0.00;1667.90;202.48;192.18;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;ZITRICK ACAROS;ORGANICA;1.5;ACARICIDA
13;Marzo;FUNDO3;EMPRESA;MH-05;26.08;Hass;Negra;T008 N° 0000111;0001-0002240;26/03/2024;2;436.00;82.77;872.00;827.65;0.9491;13.87;0.0159;30.48;0.0350;0.00;872.00;33.44;31.74;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;SPIDM;ORGANICA;1.0;ACARICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-13;6.55;Hass;Negra;T008 N° 0000111;0001-0002240;26/03/2024;3;436.00;124.15;1308.00;1241.48;0.9491;20.80;0.0159;45.72;0.0350;0.00;1308.00;199.62;189.47;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;INDIKA;QUIMICA;2.0;ANTIESTRES
13;Marzo;FUNDO2;EMPRESA;CVH-15;8.74;Hass;Negra;T008 N° 0000111;0001-0002240;26/03/2024;3;436.00;124.15;1308.00;1241.48;0.9491;20.80;0.0159;45.72;0.0350;0.00;1308.00;149.67;142.05;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;DK-TINA;QUIMICA;2.0;ACARICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-17;7.21;Hass;Negra;T008 N° 0000111;0001-0002240;26/03/2024;9;436.00;372.44;3924.00;3724.44;0.9491;62.41;0.0159;137.16;0.0350;0.00;3924.00;544.24;516.56;Cosechando;CLIENTE2;25.20;32.50;21.00;64.65;76.00;48.00;4.92;LEMURIA;ORGANICA;3.0;ACARICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-17;7.21;Hass;Negra;T008 N° 0000112;0;26/03/2024;1;0.00;0.00;0.00;0.00;0.0000;0.00;0.0000;0.00;0.0000;483.50;483.50;67.06;0.00;Cosechando;CLIENTE1;25.20;32.50;21.00;64.65;76.00;48.00;4.92;LEMURIA;ORGANICA;3.0;ACARICIDA
13;Marzo;FUNDO1;EMPRESA;DNH-06;9.75;Hass;Negra;T008 N° 0000112;0;26/03/2024;1;0.00;0.00;0.00;0.00;0.0000;0.00;0.0000;0.00;0.0000;483.50;483.50;49.57;0.00;Cosechando;CLIENTE1;25.20;32.50;21.00;64.65;76.00;48.00;4.92;BIOMURIKATA;ORGANICA;2.0;ACARICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-04;9.58;Hass;Negra;T008 N° 0000113;0001-0002243;27/03/2024;9;426.73;362.21;3840.56;3622.09;0.9431;66.84;0.0174;151.64;0.0395;0.00;3840.56;400.72;377.93;Cosechando;CLIENTE2;25.07;33.30;19.40;67.06;85.00;41.00;5.83;ACARISTOP;QUIMICA;1.0;ACARICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-05;9.56;Hass;Negra;T008 N° 0000113;0001-0002243;27/03/2024;4;426.73;160.98;1706.91;1609.81;0.9431;29.70;0.0174;67.39;0.0395;0.00;1706.91;178.61;168.45;Cosechando;CLIENTE2;25.07;33.30;19.40;67.06;85.00;41.00;5.83;DK-TINA;QUIMICA;2.0;ACARICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-06;10.59;Hass;Negra;T008 N° 0000113;0001-0002243;27/03/2024;5;426.73;201.23;2133.64;2012.27;0.9431;37.13;0.0174;84.24;0.0395;0.00;2133.64;201.47;190.01;Cosechando;CLIENTE2;25.07;33.30;19.40;67.06;85.00;41.00;5.83;DOMADOR;QUIMICA;1.0;FUNGICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-03;9.77;Hass;Negra;T008 N° 0000113;0001-0002243;27/03/2024;5;426.73;201.23;2133.64;2012.27;0.9431;37.13;0.0174;84.24;0.0395;0.00;2133.64;218.36;205.94;Cosechando;CLIENTE2;25.07;33.30;19.40;67.06;85.00;41.00;5.83;AMINOLOM;ORGANICA;2.0;ANTIESTRES
13;Marzo;FUNDO2;EMPRESA;CVH-11;9.85;Hass;Negra;T008 N° 0000113;0001-0002243;27/03/2024;11;426.73;442.70;4694.02;4426.99;0.9431;81.69;0.0174;185.34;0.0395;0.00;4694.02;476.61;449.50;Cosechando;CLIENTE2;25.07;33.30;19.40;67.06;85.00;41.00;5.83;DOMADOR;QUIMICA;1.0;FUNGICIDA
13;Marzo;FUNDO2;EMPRESA;CVH-12;9.84;Hass;Negra;T008 N° 0000113;0001-0002243;27/03/2024;1;426.73;40.25;426.73;402.45;0.9431;7.43;0.0174;16.85;0.0395;0.00;426.73;43.37;40.91;Cosechando;CLIENTE2;25.07;33.30;19.40;67.06;85.00;41.00;5.83;ACARISTOP;QUIMICA;1.0;ACARICIDA
